table_id,month,age_group,vaccine_type,outcome,V0,V1,V2,population,all_vaccinated,cg_1,cg_2,VE_cg1,VE_cg1_CI_min,VE_cg1_CI_max,VE_cg2,VE_cg2_CI_min,VE_cg2_CI_max
table_1,july,18-50,unknown,1-asymptomatic,9756.0,986.0,1019.0,5760116,907260,4852856,2947963,44.1313685385162,40.40515735685943,47.624595637079636,66.0614989587389,63.79779515311106,68.18365461995712
table_1,july,18-50,unknown,2-light,50304.0,6979.0,6149.0,5760116,907260,4852856,2947963,34.616582949140984,32.85583230828346,36.331160662015925,60.28155496897054,59.21155979496204,61.323481168861726
table_1,july,18-50,unknown,3-medium,5792.0,627.0,455.0,5760116,907260,4852856,2947963,57.98073182649524,53.77218208120718,61.80613800680521,74.47456758194151,71.9179258693987,76.79844810968314
table_1,july,18-50,unknown,4-severe,569.0,51.0,21.0,5760116,907260,4852856,2947963,80.25883996801898,69.48434642342256,87.22906594707794,88.00784335010994,81.4626540553545,92.24204902120616
table_1,july,51-70,unknown,1-asymptomatic,3097.0,306.0,695.0,3284276,598574,2685702,1790209,-0.6893583189699459,-9.328280179434568,7.266931648001751,32.88347126120289,27.124706411936106,38.18716593570496
table_1,july,51-70,unknown,2-light,15988.0,2201.0,4345.0,3284276,598574,2685702,1790209,-21.937030658936465,-26.10993256834262,-17.902207566883476,18.720405421411613,15.937979649420619,21.410733797404358
table_1,july,51-70,unknown,3-medium,5245.0,621.0,824.0,3284276,598574,2685702,1790209,29.51094422335425,24.13476187265513,34.506143960917,53.01409387457983,49.43024463844048,56.34395779369429
table_1,july,51-70,unknown,4-severe,1478.0,89.0,119.0,3284276,598574,2685702,1790209,63.87461358149926,56.45552371574034,70.02964198336814,75.91989286418308,70.97449283343829,80.02268982433395
table_1,july,71-100,unknown,1-asymptomatic,1214.0,60.0,305.0,1422425,142180,1280245,831713,-126.22246540860682,-156.5122765010631,-99.50937457504581,-46.96574903427748,-66.64464124117163,-29.610716722344566
table_1,july,71-100,unknown,2-light,3808.0,270.0,1419.0,1422425,142180,1280245,831713,-235.53670408766965,-256.714863416806,-215.61589195251946,-117.98190093838916,-131.7433857240983,-105.03760652433
table_1,july,71-100,unknown,3-medium,2530.0,481.0,94.0,1422425,142180,1280245,831713,66.5449324660551,58.89392200429726,72.77187223218378,78.26586740517642,73.29527257600397,82.31127724505761
table_1,july,71-100,unknown,4-severe,2297.0,60.0,181.0,1422425,142180,1280245,831713,29.04677203466416,17.44730731948695,39.01639794858806,53.90513371211496,46.36923824947026,60.38212718324829
table_1,june,18-50,unknown,1-asymptomatic,14623.0,449.0,1027.0,5760116,714995,5045121,2947963,50.443280985217676,47.20386166960952,53.48393884148071,71.04303859967388,69.15005050322034,72.81987078690335
table_1,june,18-50,unknown,2-light,88075.0,2495.0,5703.0,5760116,714995,5045121,2947963,54.31019530878617,53.064675817725956,55.52266253420981,73.30255236555777,72.57449480604599,74.01128237554171
table_1,june,18-50,unknown,3-medium,10463.0,227.0,368.0,5760116,714995,5045121,2947963,75.18237744407045,72.46282802614822,77.63334630319223,85.49857713167916,83.90944923874238,86.93076027501853
table_1,june,18-50,unknown,4-severe,974.0,15.0,26.0,5760116,714995,5045121,2947963,81.1642475982335,72.19408052111132,87.24064604984494,88.99390100701872,83.75244542094768,92.54446480213831
table_1,june,51-70,unknown,1-asymptomatic,4202.0,163.0,751.0,3284276,515765,2768511,1790209,4.064736017582648,-3.687404360583635,11.237291239640602,37.96514696936391,32.95203445953929,42.603433832599826
table_1,june,51-70,unknown,2-light,27525.0,1253.0,4726.0,3284276,515765,2768511,1790209,7.836114513741421,4.9338762772820015,10.649751401462403,40.40384261703511,38.52640965544308,42.223937874655135
table_1,june,51-70,unknown,3-medium,10009.0,370.0,833.0,3284276,515765,2768511,1790209,55.32663176793615,52.0518879761112,58.37771822583411,71.1127512697783,68.9950295626266,73.08582696805863
