vaccine_type,epivac,epivac,epivac,sputnik,sputnik,sputnik
age_group,18-50,51-70,71-100,18-50,51-70,71-100
date,,,,,,
2020-12-07,0,0,0,221,221,0
2020-12-09,0,0,0,331,221,0
2020-12-10,0,0,0,442,331,0
2020-12-15,0,0,0,442,442,0
2020-12-16,0,0,0,663,442,0
2020-12-17,0,0,0,663,552,0
2020-12-18,0,0,0,773,552,0
2020-12-21,0,0,0,884,552,0
2020-12-22,0,0,0,995,552,0
2020-12-23,0,0,0,1326,663,0
2020-12-24,0,0,0,1326,663,110
2020-12-25,110,0,0,1658,773,110
2020-12-26,110,110,0,2321,995,110
2020-12-27,110,110,0,2764,1216,110
2020-12-28,221,110,0,3759,1990,110
2020-12-29,331,221,0,5749,3206,221
2020-12-30,331,221,0,7075,4090,221
2020-12-31,331,221,0,7186,4090,221
2021-01-02,331,221,0,7186,4201,221
2021-01-03,331,221,0,7407,4201,221
2021-01-04,331,221,0,9287,4643,221
2021-01-05,331,221,0,10724,4975,221
2021-01-06,331,221,0,12161,5196,221
2021-01-07,331,221,0,13046,5417,221
2021-01-08,331,221,0,14041,6854,221
2021-01-09,331,221,0,15589,7628,221
2021-01-10,331,221,0,16473,7849,221
2021-01-11,442,221,0,19348,9176,221
2021-01-12,773,221,0,21227,10171,221
2021-01-13,773,221,0,22664,11056,221
2021-01-14,884,221,0,24433,11829,221
2021-01-15,884,221,0,26202,12493,221
2021-01-16,884,221,0,27419,13046,221
2021-01-17,884,221,0,28635,13820,331
2021-01-18,884,331,0,29519,14925,552
2021-01-19,884,331,0,30625,16252,1105
2021-01-20,884,331,0,31178,17358,1547
2021-01-21,884,331,0,31288,17800,1658
2021-01-22,884,331,0,31509,18684,1879
2021-01-23,884,331,0,32394,19679,2432
2021-01-24,884,331,0,33057,21448,2985
2021-01-25,884,331,0,33389,23217,3427
2021-01-26,884,331,0,34052,24876,3980
2021-01-27,884,331,0,34826,25981,4864
2021-01-28,884,331,0,35600,27971,5970
2021-01-29,1105,331,0,36595,29740,6412
2021-01-30,1105,331,0,38032,32173,7075
2021-01-31,1105,331,0,40354,35268,7518
2021-02-01,1216,331,0,42786,37148,8513
2021-02-02,1216,331,0,44334,38806,9397
2021-02-03,1326,663,110,46656,43560,10834
2021-02-04,1437,663,110,49531,47872,12382
2021-02-05,1437,663,221,54064,52847,14151
2021-02-06,1437,663,221,58597,55943,15920
2021-02-07,1437,663,221,63461,59813,16694
2021-02-08,1437,773,221,66778,65451,18353
2021-02-09,1437,773,221,72527,68879,19348
2021-02-10,1437,884,221,79271,73412,20895
2021-02-11,1437,995,221,86900,78498,22333
2021-02-12,1437,1105,221,91323,83141,23659
2021-02-13,1437,1105,221,97182,87895,25318
2021-02-14,1437,1105,221,103484,91765,26866
2021-02-15,1437,1105,221,110560,95966,27861
2021-02-16,1437,1216,221,118521,101605,28745
2021-02-17,1437,1216,221,125375,108902,30846
2021-02-18,1437,1216,221,132451,115867,32615
