vaccine_type,epivac,epivac,epivac,sputnik,sputnik,sputnik
age_group,18-50,51-70,71-100,18-50,51-70,71-100
date,,,,,,
2020-12-07,0,0,0,2,2,0
2020-12-09,0,0,0,3,2,0
2020-12-10,0,0,0,4,3,0
2020-12-15,0,0,0,4,4,0
2020-12-16,0,0,0,6,4,0
2020-12-17,0,0,0,6,5,0
2020-12-18,0,0,0,7,5,0
2020-12-21,0,0,0,8,5,0
2020-12-22,0,0,0,9,5,0
2020-12-23,0,0,0,12,6,0
2020-12-24,0,0,0,12,6,1
2020-12-25,1,0,0,15,7,1
2020-12-26,1,1,0,21,9,1
2020-12-27,1,1,0,25,11,1
2020-12-28,2,1,0,34,18,1
2020-12-29,3,2,0,52,29,2
2020-12-30,3,2,0,64,37,2
2020-12-31,3,2,0,65,37,2
2021-01-02,3,2,0,65,38,2
2021-01-03,3,2,0,67,38,2
2021-01-04,3,2,0,84,42,2
2021-01-05,3,2,0,97,45,2
2021-01-06,3,2,0,110,47,2
2021-01-07,3,2,0,118,49,2
2021-01-08,3,2,0,127,62,2
2021-01-09,3,2,0,141,69,2
2021-01-10,3,2,0,149,71,2
2021-01-11,4,2,0,175,83,2
2021-01-12,7,2,0,192,92,2
2021-01-13,7,2,0,205,100,2
2021-01-14,8,2,0,221,107,2
2021-01-15,8,2,0,237,113,2
2021-01-16,8,2,0,248,118,2
2021-01-17,8,2,0,259,125,3
2021-01-18,8,3,0,267,135,5
2021-01-19,8,3,0,277,147,10
2021-01-20,8,3,0,282,157,14
2021-01-21,8,3,0,283,161,15
2021-01-22,8,3,0,285,169,17
2021-01-23,8,3,0,293,178,22
2021-01-24,8,3,0,299,194,27
2021-01-25,8,3,0,302,210,31
2021-01-26,8,3,0,308,225,36
2021-01-27,8,3,0,315,235,44
2021-01-28,8,3,0,322,253,54
2021-01-29,10,3,0,331,269,58
2021-01-30,10,3,0,344,291,64
2021-01-31,10,3,0,365,319,68
2021-02-01,11,3,0,387,336,77
2021-02-02,11,3,0,401,351,85
2021-02-03,12,6,1,422,394,98
2021-02-04,13,6,1,448,433,112
2021-02-05,13,6,2,489,478,128
2021-02-06,13,6,2,530,506,144
2021-02-07,13,6,2,574,541,151
2021-02-08,13,7,2,604,592,166
2021-02-09,13,7,2,656,623,175
2021-02-10,13,8,2,717,664,189
2021-02-11,13,9,2,786,710,202
2021-02-12,13,10,2,826,752,214
2021-02-13,13,10,2,879,795,229
2021-02-14,13,10,2,936,830,243
2021-02-15,13,10,2,1000,868,252
2021-02-16,13,11,2,1072,919,260
2021-02-17,13,11,2,1134,985,279
2021-02-18,13,11,2,1198,1048,295
2021-02-19,14,11,2,1263,1100,310
2021-02-20,14,11,2,1320,1145,319
2021-02-21,14,11,2,1366,1191,337
2021-02-22,14,11,2,1401,1235,348
2021-02-23,14,11,2,1430,1271,358
2021-02-24,15,11,2,1516,1339,376
2021-02-25,16,11,3,1593,1391,385
2021-02-26,16,11,3,1683,1446,399
